epoch,step,train_loss,learning_rate,grad_norm,eval_loss,eval_accuracy_branch1,eval_precision_branch1,eval_recall_branch1,eval_f1_branch1,eval_accuracy_branch2,eval_precision_branch2,eval_recall_branch2,eval_f1_branch2,eval_lambda,eval_tn_branch2,eval_fp_branch2,eval_fn_branch2,eval_tp_branch2,eval_loss_branch1,eval_loss_branch2,eval_cm_branch1_actual0_pred0,eval_cm_branch1_actual0_pred1,eval_cm_branch1_actual0_pred2,eval_cm_branch1_actual0_pred3,eval_cm_branch1_actual0_pred4,eval_cm_branch1_actual0_pred5,eval_cm_branch1_actual0_pred6,eval_cm_branch1_actual0_pred7,eval_cm_branch1_actual0_pred8,eval_cm_branch1_actual0_pred9,eval_cm_branch1_actual0_pred10,eval_cm_branch1_actual1_pred0,eval_cm_branch1_actual1_pred1,eval_cm_branch1_actual1_pred2,eval_cm_branch1_actual1_pred3,eval_cm_branch1_actual1_pred4,eval_cm_branch1_actual1_pred5,eval_cm_branch1_actual1_pred6,eval_cm_branch1_actual1_pred7,eval_cm_branch1_actual1_pred8,eval_cm_branch1_actual1_pred9,eval_cm_branch1_actual1_pred10,eval_cm_branch1_actual2_pred0,eval_cm_branch1_actual2_pred1,eval_cm_branch1_actual2_pred2,eval_cm_branch1_actual2_pred3,eval_cm_branch1_actual2_pred4,eval_cm_branch1_actual2_pred5,eval_cm_branch1_actual2_pred6,eval_cm_branch1_actual2_pred7,eval_cm_branch1_actual2_pred8,eval_cm_branch1_actual2_pred9,eval_cm_branch1_actual2_pred10,eval_cm_branch1_actual3_pred0,eval_cm_branch1_actual3_pred1,eval_cm_branch1_actual3_pred2,eval_cm_branch1_actual3_pred3,eval_cm_branch1_actual3_pred4,eval_cm_branch1_actual3_pred5,eval_cm_branch1_actual3_pred6,eval_cm_branch1_actual3_pred7,eval_cm_branch1_actual3_pred8,eval_cm_branch1_actual3_pred9,eval_cm_branch1_actual3_pred10,eval_cm_branch1_actual4_pred0,eval_cm_branch1_actual4_pred1,eval_cm_branch1_actual4_pred2,eval_cm_branch1_actual4_pred3,eval_cm_branch1_actual4_pred4,eval_cm_branch1_actual4_pred5,eval_cm_branch1_actual4_pred6,eval_cm_branch1_actual4_pred7,eval_cm_branch1_actual4_pred8,eval_cm_branch1_actual4_pred9,eval_cm_branch1_actual4_pred10,eval_cm_branch1_actual5_pred0,eval_cm_branch1_actual5_pred1,eval_cm_branch1_actual5_pred2,eval_cm_branch1_actual5_pred3,eval_cm_branch1_actual5_pred4,eval_cm_branch1_actual5_pred5,eval_cm_branch1_actual5_pred6,eval_cm_branch1_actual5_pred7,eval_cm_branch1_actual5_pred8,eval_cm_branch1_actual5_pred9,eval_cm_branch1_actual5_pred10,eval_cm_branch1_actual6_pred0,eval_cm_branch1_actual6_pred1,eval_cm_branch1_actual6_pred2,eval_cm_branch1_actual6_pred3,eval_cm_branch1_actual6_pred4,eval_cm_branch1_actual6_pred5,eval_cm_branch1_actual6_pred6,eval_cm_branch1_actual6_pred7,eval_cm_branch1_actual6_pred8,eval_cm_branch1_actual6_pred9,eval_cm_branch1_actual6_pred10,eval_cm_branch1_actual7_pred0,eval_cm_branch1_actual7_pred1,eval_cm_branch1_actual7_pred2,eval_cm_branch1_actual7_pred3,eval_cm_branch1_actual7_pred4,eval_cm_branch1_actual7_pred5,eval_cm_branch1_actual7_pred6,eval_cm_branch1_actual7_pred7,eval_cm_branch1_actual7_pred8,eval_cm_branch1_actual7_pred9,eval_cm_branch1_actual7_pred10,eval_cm_branch1_actual8_pred0,eval_cm_branch1_actual8_pred1,eval_cm_branch1_actual8_pred2,eval_cm_branch1_actual8_pred3,eval_cm_branch1_actual8_pred4,eval_cm_branch1_actual8_pred5,eval_cm_branch1_actual8_pred6,eval_cm_branch1_actual8_pred7,eval_cm_branch1_actual8_pred8,eval_cm_branch1_actual8_pred9,eval_cm_branch1_actual8_pred10,eval_cm_branch1_actual9_pred0,eval_cm_branch1_actual9_pred1,eval_cm_branch1_actual9_pred2,eval_cm_branch1_actual9_pred3,eval_cm_branch1_actual9_pred4,eval_cm_branch1_actual9_pred5,eval_cm_branch1_actual9_pred6,eval_cm_branch1_actual9_pred7,eval_cm_branch1_actual9_pred8,eval_cm_branch1_actual9_pred9,eval_cm_branch1_actual9_pred10,eval_cm_branch1_actual10_pred0,eval_cm_branch1_actual10_pred1,eval_cm_branch1_actual10_pred2,eval_cm_branch1_actual10_pred3,eval_cm_branch1_actual10_pred4,eval_cm_branch1_actual10_pred5,eval_cm_branch1_actual10_pred6,eval_cm_branch1_actual10_pred7,eval_cm_branch1_actual10_pred8,eval_cm_branch1_actual10_pred9,eval_cm_branch1_actual10_pred10,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.0,2053,1.4894,0.0980009741841208,5.153818607330322,0.6587988138198853,0.6748477466504264,0.6909654697946678,0.6001904072212455,0.5949455966167624,0.8287454323995128,0.8300593412370776,0.8287454323995127,0.8285748289510708,0.0,7063,1147,1665,6545,0.2658514976501465,0.3926338851451874,476,0,5,0,55,0,29,4,1,284,56,2,23,261,0,77,6,55,16,101,12,97,7,8,274,0,58,6,41,26,84,36,92,0,0,0,564,1,5,51,44,16,2,63,20,2,8,0,999,62,32,31,11,162,485,17,5,17,5,638,302,53,36,7,181,519,2,0,0,14,1,0,2750,0,28,61,22,0,0,0,0,1,0,4,1932,1,0,44,2,0,0,11,0,0,71,157,1718,0,17,5,0,0,0,71,2,279,3,3,901,160,5,0,0,6,160,12,141,38,14,112,1142,16.3783,1002.548,31.383
2.0,4106,0.9948,0.0960009741841208,4.8772292137146,0.4167492389678955,0.8105968331303288,0.8126761568058579,0.7593872187260552,0.7719428631665426,0.9072472594397076,0.9080274342919642,0.9072472594397076,0.9072029009254414,0.0004,7269,941,582,7628,0.1044243723154068,0.312250554561615,638,0,0,0,19,22,69,3,11,125,23,16,294,33,0,16,165,23,13,45,30,15,47,85,296,0,31,62,9,6,61,27,8,0,0,0,702,1,16,6,0,2,2,17,36,1,1,5,931,390,16,36,33,120,243,30,0,8,6,101,1331,15,26,46,88,129,0,0,0,8,0,9,2784,0,46,31,0,0,0,0,0,0,1,0,1966,0,0,15,0,0,0,0,0,0,8,2,1965,0,1,0,0,0,0,21,24,46,3,7,1138,185,4,0,0,12,68,67,27,83,40,64,1265,16.2569,1010.03,31.617
3.0,6159,0.8929,0.0940009741841208,7.370744705200195,0.5527951717376709,0.8415956151035323,0.8462232090987274,0.8199474089677147,0.8293169693309085,0.786967113276492,0.7915741545752009,0.7869671132764922,0.7861222651117602,0.0016,5945,2265,1233,6977,0.0771588385105133,0.47558140754699707,698,3,0,0,6,6,114,1,8,63,11,47,487,17,0,9,37,16,0,25,6,6,51,40,459,0,13,6,21,0,32,8,2,0,0,1,720,2,2,18,0,0,1,2,119,6,5,15,1151,175,70,17,9,63,182,96,29,0,7,123,1296,92,4,31,35,67,0,0,0,2,0,7,2861,0,4,3,1,0,0,0,0,0,0,2,1940,33,0,7,0,0,0,0,0,0,108,0,1868,0,0,15,4,0,0,52,52,105,0,0,1073,123,7,4,3,21,116,49,114,16,9,25,1266,16.4315,999.301,31.281
4.0,8212,0.9122,0.0920009741841208,6.887392997741699,0.6024202704429626,0.8787454323995127,0.8879705665795055,0.8547287295524572,0.8662469923038555,0.7063337393422655,0.7213443191430957,0.7063337393422655,0.7012690914682542,0.0036,6868,1342,3480,4730,0.04697662591934204,0.5562576055526733,565,3,0,1,22,17,121,0,5,130,46,6,570,3,0,19,26,0,1,2,3,20,11,74,460,0,37,14,10,0,4,9,13,0,0,0,725,6,3,1,0,1,1,9,12,5,1,0,1359,183,9,0,0,62,181,11,5,0,6,137,1450,14,0,9,38,110,1,0,0,8,0,35,2825,0,1,3,5,0,0,0,0,3,0,0,1944,0,0,35,0,0,0,2,0,0,24,8,1940,0,2,3,2,1,0,58,54,14,0,0,1196,96,1,1,0,2,148,52,8,2,0,21,1395,16.2406,1011.045,31.649
5.0,10265,0.9489,0.0900009741841208,5.1072564125061035,0.6603965759277344,0.889768574908648,0.8877855100692227,0.8703387059481277,0.8773736635578949,0.6658952496954933,0.6908354893165425,0.6658952496954933,0.6546105352480522,0.0064,3983,4227,1259,6951,0.030202524736523628,0.6301557421684265,658,4,0,1,9,12,44,0,2,70,110,30,574,5,0,17,13,1,0,0,3,7,20,63,492,1,25,8,4,0,3,8,8,0,2,0,720,12,2,5,0,0,2,3,36,7,6,2,1440,146,11,2,3,47,112,23,29,3,5,202,1391,13,0,6,38,70,1,0,0,4,0,5,2861,0,2,2,3,0,0,0,0,1,0,0,1976,2,0,3,0,0,0,0,0,0,11,1,1964,0,0,13,3,1,0,52,19,19,0,0,1219,98,3,4,1,4,192,53,20,4,4,30,1315,16.2765,1008.815,31.579
6.0,12318,1.0031,0.0880009741841208,5.8572282791137695,0.8040284514427185,0.8983556638246042,0.8987063665268871,0.8860291234856658,0.890845693628144,0.565225334957369,0.5715959234217212,0.565225334957369,0.5553337605486929,0.010000000000000002,5865,2345,4794,3416,0.022098006680607796,0.7823821306228638,790,7,0,2,9,18,24,0,2,38,20,19,579,3,0,14,12,1,0,0,3,19,16,46,499,4,28,7,6,0,2,10,14,0,0,0,719,13,0,8,0,0,1,5,32,3,6,3,1340,155,19,1,2,113,138,28,20,2,5,131,1411,33,0,4,88,58,0,0,0,2,0,1,2873,0,0,1,1,0,0,0,0,0,0,0,1942,38,0,2,0,0,1,0,0,0,12,0,1963,0,0,14,0,0,0,22,11,32,0,0,1282,63,4,1,0,4,111,37,46,0,1,73,1353,16.599,989.217,30.966
7.0,14371,1.0555,0.08600097418412081,7.9679365158081055,0.9093472361564636,0.8854445797807552,0.8847864951490763,0.8620933841789372,0.8687716341872054,0.46711327649208284,0.3142128548914142,0.46711327649208284,0.3290720077979788,0.0144,7559,651,8099,111,0.020392894744873047,0.8896204233169556,649,5,0,0,13,11,42,0,5,174,11,18,586,0,0,15,14,2,1,0,6,8,8,132,425,0,13,16,7,0,1,21,9,0,0,1,726,11,2,1,0,0,1,4,16,6,3,2,1352,199,24,6,8,71,125,13,16,0,3,69,1520,36,0,5,63,55,0,0,0,19,0,3,2847,0,1,5,3,0,0,0,0,0,0,0,1922,58,0,2,0,0,0,0,0,0,11,1,1964,0,0,17,2,1,0,31,33,47,1,0,1200,92,1,4,0,5,127,58,29,5,5,48,1348,16.3457,1004.544,31.446
8.0,16424,1.1182,0.08400097418412081,4.476048946380615,0.8157092928886414,0.9045066991473812,0.906771589264914,0.887139127686288,0.8954506975739105,0.45676004872107184,0.43155726725596155,0.45676004872107184,0.4016799517652399,0.019600000000000003,1259,6951,1969,6241,0.01551329717040062,0.7998237609863281,733,3,0,0,12,10,31,2,3,94,22,17,568,12,0,21,16,1,0,0,2,13,6,46,491,1,46,11,6,0,0,9,16,0,0,1,725,15,2,0,0,0,0,3,13,3,1,3,1454,148,9,5,2,57,117,15,10,1,1,129,1509,17,0,4,35,59,1,0,0,14,0,27,2821,0,3,4,8,0,0,0,0,0,0,0,1962,15,0,5,0,0,0,0,0,0,3,0,1973,0,0,5,1,1,1,47,36,18,0,0,1203,112,1,0,0,4,117,55,14,0,1,25,1413,16.4917,995.651,31.167
9.0,18477,1.1435,0.0820009741841208,10.068117141723633,0.865940272808075,0.8925091352009744,0.9027904825784425,0.8677524901782128,0.8797329178676887,0.49342265529841656,0.2655853439815911,0.49342265529841656,0.3308222682480939,0.0256,8098,112,8206,4,0.015036068856716156,0.8515290021896362,554,2,0,0,19,7,41,2,3,271,11,12,582,1,0,31,14,1,0,0,6,3,3,31,471,1,89,9,3,0,0,15,10,0,0,0,724,16,1,0,0,0,1,4,12,4,0,3,1482,106,17,7,2,91,88,13,10,1,3,185,1440,35,1,2,59,31,0,0,0,7,0,9,2858,0,1,0,3,0,0,0,0,0,0,0,1930,50,0,2,0,0,0,0,0,0,5,0,1971,0,0,8,2,0,0,29,51,33,0,0,1270,31,3,0,0,3,136,52,31,1,1,30,1373,16.3619,1003.553,31.415
10.0,20530,1.1701,0.0800009741841208,13.146824836730957,0.8300647735595703,0.8841047503045067,0.8896497305564712,0.8616486794549558,0.8715064182227228,0.5,0.25,0.5,0.3333333333333333,0.0324,0,8210,0,8210,0.012452841736376286,0.8166769742965698,672,4,0,0,4,13,65,0,2,141,9,20,585,1,0,8,19,5,0,0,4,8,7,101,422,0,53,11,14,0,1,13,10,0,0,1,723,13,2,2,0,0,0,5,18,2,1,2,1365,198,45,2,5,74,100,19,16,0,2,137,1459,64,0,4,39,40,2,0,2,8,0,6,2853,0,0,2,5,0,0,0,0,0,0,0,1921,59,0,2,0,0,0,0,0,0,8,0,1968,0,0,5,3,1,0,39,38,53,0,0,1234,51,3,1,0,2,124,70,80,5,0,30,1315,16.4011,1001.15,31.339
